GEO_ID,NAME,P1_001N
1500000US421010036001,"Block Group 1, Census Tract 36, Philadelphia County, Pennsylvania",1899
1500000US421010036002,"Block Group 2, Census Tract 36, Philadelphia County, Pennsylvania",1128
1500000US421010036003,"Block Group 3, Census Tract 36, Philadelphia County, Pennsylvania",2204
1500000US421010036004,"Block Group 4, Census Tract 36, Philadelphia County, Pennsylvania",1340
1500000US421010037011,"Block Group 1, Census Tract 37.01, Philadelphia County, Pennsylvania",1120
1500000US421010037012,"Block Group 2, Census Tract 37.01, Philadelphia County, Pennsylvania",1017
1500000US421010037013,"Block Group 3, Census Tract 37.01, Philadelphia County, Pennsylvania",1177
1500000US421010037014,"Block Group 4, Census Tract 37.01, Philadelphia County, Pennsylvania",1281
1500000US421010037015,"Block Group 5, Census Tract 37.01, Philadelphia County, Pennsylvania",1511
1500000US421010037021,"Block Group 1, Census Tract 37.02, Philadelphia County, Pennsylvania",1558
1500000US421010037022,"Block Group 2, Census Tract 37.02, Philadelphia County, Pennsylvania",1472
1500000US421010037023,"Block Group 3, Census Tract 37.02, Philadelphia County, Pennsylvania",648
1500000US421010038001,"Block Group 1, Census Tract 38, Philadelphia County, Pennsylvania",967
1500000US421010038002,"Block Group 2, Census Tract 38, Philadelphia County, Pennsylvania",882
1500000US421010038003,"Block Group 3, Census Tract 38, Philadelphia County, Pennsylvania",954
1500000US421010038004,"Block Group 4, Census Tract 38, Philadelphia County, Pennsylvania",17
1500000US421010038005,"Block Group 5, Census Tract 38, Philadelphia County, Pennsylvania",1000
1500000US421010039011,"Block Group 1, Census Tract 39.01, Philadelphia County, Pennsylvania",1449
1500000US421010039012,"Block Group 2, Census Tract 39.01, Philadelphia County, Pennsylvania",1283
1500000US421010039013,"Block Group 3, Census Tract 39.01, Philadelphia County, Pennsylvania",1854
1500000US421010039014,"Block Group 4, Census Tract 39.01, Philadelphia County, Pennsylvania",1633
1500000US421010039021,"Block Group 1, Census Tract 39.02, Philadelphia County, Pennsylvania",1416
1500000US421010039022,"Block Group 2, Census Tract 39.02, Philadelphia County, Pennsylvania",2523
1500000US421010039023,"Block Group 3, Census Tract 39.02, Philadelphia County, Pennsylvania",1758
1500000US421010040011,"Block Group 1, Census Tract 40.01, Philadelphia County, Pennsylvania",1329
1500000US421010040012,"Block Group 2, Census Tract 40.01, Philadelphia County, Pennsylvania",1274
1500000US421010040013,"Block Group 3, Census Tract 40.01, Philadelphia County, Pennsylvania",918
1500000US421010040014,"Block Group 4, Census Tract 40.01, Philadelphia County, Pennsylvania",956
1500000US421010040021,"Block Group 1, Census Tract 40.02, Philadelphia County, Pennsylvania",1384
1500000US421010040022,"Block Group 2, Census Tract 40.02, Philadelphia County, Pennsylvania",1665
